date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:19:32	60448/60448	---MCZ	200	added ('OK')	text/html	etag:W/%2257ccdf45-ec20%22	http://tk-themes.net/html-umbra/faq.html	D:/shoppingC/tk-themes.net/html-umbra/faq.html	(from http://tk-themes.net/html-umbra/)
15:19:32	18591/18591	---MCZ	200	added ('OK')	text/html	etag:W/%2257ccdf3e-489f%22	http://tk-themes.net/html-umbra/about-us.html	D:/shoppingC/tk-themes.net/html-umbra/about-us.html	(from http://tk-themes.net/html-umbra/)
15:19:32	9933/9933	---MCZ	200	added ('OK')	text/html	etag:W/%2257ccdf3e-26cd%22	http://tk-themes.net/html-umbra/404.html	D:/shoppingC/tk-themes.net/html-umbra/404.html	(from http://tk-themes.net/html-umbra/)
15:19:33	14002/14002	---MCZ	200	added ('OK')	text/html	etag:W/%2257ccdf44-36b2%22	http://tk-themes.net/html-umbra/contact-us.html	D:/shoppingC/tk-themes.net/html-umbra/contact-us.html	(from http://tk-themes.net/html-umbra/)
15:19:56	160491/160491	---M--	200	added ('OK')	image/jpeg	etag:%2257cccde7-272eb%22	http://tk-themes.net/html-umbra/images/slider/slider_1.jpg	D:/shoppingC/tk-themes.net/html-umbra/images/slider/slider_1.jpg	(from http://tk-themes.net/html-umbra/)
15:19:59	152253/152253	---M--	200	added ('OK')	image/jpeg	etag:%2257cccd6c-252bd%22	http://tk-themes.net/html-umbra/images/banner/banner_1.jpg	D:/shoppingC/tk-themes.net/html-umbra/images/banner/banner_1.jpg	(from http://tk-themes.net/html-umbra/)
15:20:09	80383/80383	---M--	200	added ('OK')	image/jpeg	etag:%2257cccd74-139ff%22	http://tk-themes.net/html-umbra/images/banner/banner_2.jpg	D:/shoppingC/tk-themes.net/html-umbra/images/banner/banner_2.jpg	(from http://tk-themes.net/html-umbra/)
15:20:17	113478/113478	---M--	200	added ('OK')	image/jpeg	etag:%2257cccd75-1bb46%22	http://tk-themes.net/html-umbra/images/banner/banner_3.jpg	D:/shoppingC/tk-themes.net/html-umbra/images/banner/banner_3.jpg	(from http://tk-themes.net/html-umbra/)
15:20:32	84234/84234	---M--	200	added ('OK')	image/jpeg	etag:%2257cccd77-1490a%22	http://tk-themes.net/html-umbra/images/banner/banner_5.jpg	D:/shoppingC/tk-themes.net/html-umbra/images/banner/banner_5.jpg	(from http://tk-themes.net/html-umbra/)
15:20:33	1837/1837	---MCZ	200	added ('OK')	text/html	etag:W/%2257cccd18-72d%22	http://tk-themes.net/html-umbra/ajax/product-quickview.html	D:/shoppingC/tk-themes.net/html-umbra/ajax/product-quickview.html	(from http://tk-themes.net/html-umbra/)
15:20:33	146233/146233	---M--	200	added ('OK')	image/jpeg	etag:%2257cccd76-23b39%22	http://tk-themes.net/html-umbra/images/banner/banner_4.jpg	D:/shoppingC/tk-themes.net/html-umbra/images/banner/banner_4.jpg	(from http://tk-themes.net/html-umbra/)
